Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
LSM7,NA/N,NA/N,NA/N,NA/N
LSM5,NA/N,NA/N,NA/N,NA/N
RBM42,NA/N,NA/N,NA/N,NA/N
ZNF511,NA/N,NA/N,NA/N,NA/N
TMCO6,NA/N,NA/N,NA/N,NA/N
WBP4,NA/N,NA/N,NA/N,NA/N
LSMEM2,NA/N,NA/N,NA/N,NA/N
LSP1,NA/N,NA/N,NA/N,NA/N
LTB,NA/N,NA/N,NA/N,NA/N
LTB4R,NA/N,NA/N,NA/N,NA/N
ARHGEF18,NA/N,NA/N,NA/N,NA/N
CCDC113,NA/N,NA/N,NA/N,NA/N
THAP3,NA/N,NA/N,NA/N,NA/N
LTC4S,NA/N,NA/N,NA/N,NA/N
MGST1,NA/N,NA/N,NA/N,NA/N
LTK,NA/N,NA/N,NA/N,NA/N
NEMF,NA/N,NA/N,NA/N,NA/N
LTV1,NA/N,NA/N,NA/N,NA/N
LUM,NA/N,NA/N,NA/N,NA/N
THUMPD1,NA/N,NA/N,NA/N,NA/N
LURAP1L,NA/N,NA/N,NA/N,NA/N
LUZP4,NA/N,NA/N,NA/N,NA/N
LXN,NA/N,NA/N,NA/N,NA/N
LY6G6F,NA/N,NA/N,NA/N,NA/N
LY86,NA/N,NA/N,NA/N,NA/N
CD180,NA/N,NA/N,NA/N,NA/N
LY96,NA/N,NA/N,NA/N,NA/N
C7orf50,NA/N,NA/N,NA/N,NA/N
PHF6,NA/N,NA/N,NA/N,NA/N
TMA16,NA/N,NA/N,NA/N,NA/N
LYL1,NA/N,NA/N,NA/N,NA/N
TRPV4,NA/N,NA/N,NA/N,NA/N
TEC,NA/N,NA/N,NA/N,NA/N
RASSF8,NA/N,NA/N,NA/N,NA/N
LYPD1,NA/N,NA/N,NA/N,NA/N
ZNF146,NA/N,NA/N,NA/N,NA/N
LYPD3,NA/N,NA/N,NA/N,NA/N
SLC41A1,NA/N,NA/N,NA/N,NA/N
GALNT10,NA/N,NA/N,NA/N,NA/N
RFT1,NA/N,NA/N,NA/N,NA/N
LYPD4,NA/N,NA/N,NA/N,NA/N
PANK4,NA/N,NA/N,NA/N,NA/N
AP5Z1,NA/N,NA/N,NA/N,NA/N
LYPD6,NA/N,NA/N,NA/N,NA/N
LYRM2,NA/N,NA/N,NA/N,NA/N
LYST,NA/N,NA/N,NA/N,NA/N
LYZL2,NA/N,NA/N,NA/N,NA/N
LZTFL1,NA/N,NA/N,NA/N,NA/N
MAATS1,NA/N,NA/N,NA/N,NA/N
MAB21L2,NA/N,NA/N,NA/N,NA/N
REV3L,NA/N,NA/N,NA/N,NA/N
MLLT11,NA/N,NA/N,NA/N,NA/N
MAIP1,NA/N,NA/N,NA/N,NA/N
YPEL5,NA/N,NA/N,NA/N,NA/N
MAF1,NA/N,NA/N,NA/N,NA/N
MAFA,NA/N,NA/N,NA/N,NA/N
PDX1,NA/N,NA/N,NA/N,NA/N
HOXD12,NA/N,NA/N,NA/N,NA/N
MAFIP,NA/N,NA/N,NA/N,NA/N
MAGEA1,NA/N,NA/N,NA/N,NA/N
TRIM31,NA/N,NA/N,NA/N,NA/N
SPAG1,NA/N,NA/N,NA/N,NA/N
MAGEB6,NA/N,NA/N,NA/N,NA/N
MAGEA9,NA/N,NA/N,NA/N,NA/N
MAGEB3,NA/N,NA/N,NA/N,NA/N
MAGEA10,NA/N,NA/N,NA/N,NA/N
ERI1,NA/N,NA/N,NA/N,NA/N
SLF1,NA/N,NA/N,NA/N,NA/N
FAM216A,NA/N,NA/N,NA/N,NA/N
FOXJ2,NA/N,NA/N,NA/N,NA/N
SH2D4A,NA/N,NA/N,NA/N,NA/N
TCEA2,NA/N,NA/N,NA/N,NA/N
MAGEA2B,NA/N,NA/N,NA/N,NA/N
MAGEA4,NA/N,NA/N,NA/N,NA/N
MAGEB16,NA/N,NA/N,NA/N,NA/N
MDM1,NA/N,NA/N,NA/N,NA/N
MAGEA6,NA/N,NA/N,NA/N,NA/N
MAGEA8,NA/N,NA/N,NA/N,NA/N
BEX5,NA/N,NA/N,NA/N,NA/N
MAGEB10,NA/N,NA/N,NA/N,NA/N
MAGEC2,NA/N,NA/N,NA/N,NA/N
MAGEB4,NA/N,NA/N,NA/N,NA/N
MAGEB18,NA/N,NA/N,NA/N,NA/N
MAGEB2,NA/N,NA/N,NA/N,NA/N
RPL36A,NA/N,NA/N,NA/N,NA/N
PPP1R7,NA/N,NA/N,NA/N,NA/N
MAGEC1,NA/N,NA/N,NA/N,NA/N
CTAG1B,NA/N,NA/N,NA/N,NA/N
MAGEE2,NA/N,NA/N,NA/N,NA/N
MAGEH1,NA/N,NA/N,NA/N,NA/N
MAGEL2,NA/N,NA/N,NA/N,NA/N
C11orf52,NA/N,NA/N,NA/N,NA/N
PRRG4,NA/N,NA/N,NA/N,NA/N
MAGI2,NA/N,NA/N,NA/N,NA/N
MAGIX,NA/N,NA/N,NA/N,NA/N
SCRN3,NA/N,NA/N,NA/N,NA/N
MAGOHB,NA/N,NA/N,NA/N,NA/N
MAJIN,NA/N,NA/N,NA/N,NA/N
CRYBB3,NA/N,NA/N,NA/N,NA/N
MAK,NA/N,NA/N,NA/N,NA/N
ZCCHC9,NA/N,NA/N,NA/N,NA/N
MAL2,NA/N,NA/N,NA/N,NA/N
TPD52,NA/N,NA/N,NA/N,NA/N
MALL,NA/N,NA/N,NA/N,NA/N
MAMDC2,NA/N,NA/N,NA/N,NA/N
MAML1,NA/N,NA/N,NA/N,NA/N
NOTCH4,NA/N,NA/N,NA/N,NA/N
MAML3,NA/N,NA/N,NA/N,NA/N
MANBAL,NA/N,NA/N,NA/N,NA/N
MANSC1,NA/N,NA/N,NA/N,NA/N
MARK4,NA/N,NA/N,NA/N,NA/N
PLEKHB1,NA/N,NA/N,NA/N,NA/N
TRAM2,NA/N,NA/N,NA/N,NA/N
TP53I11,NA/N,NA/N,NA/N,NA/N
MAOA,NA/N,NA/N,NA/N,NA/N
SAFB,NA/N,NA/N,NA/N,NA/N
BPY2B,NA/N,NA/N,NA/N,NA/N
MAP3K2,NA/N,NA/N,NA/N,NA/N
MAP3K13,NA/N,NA/N,NA/N,NA/N
RPL10L,NA/N,NA/N,NA/N,NA/N
SH2D2A,NA/N,NA/N,NA/N,NA/N
SMYD3,NA/N,NA/N,NA/N,NA/N
MAP3K20,NA/N,NA/N,NA/N,NA/N
ZNF33A,NA/N,NA/N,NA/N,NA/N
ZNF35,NA/N,NA/N,NA/N,NA/N
MAP3K6,NA/N,NA/N,NA/N,NA/N
PCDHA4,NA/N,NA/N,NA/N,NA/N
TRIM8,NA/N,NA/N,NA/N,NA/N
MAP3K7CL,NA/N,NA/N,NA/N,NA/N
MAP4K2,NA/N,NA/N,NA/N,NA/N
RAP2A,NA/N,NA/N,NA/N,NA/N
BEND3,NA/N,NA/N,NA/N,NA/N
PTPN5,NA/N,NA/N,NA/N,NA/N
PTPN7,NA/N,NA/N,NA/N,NA/N
MAPK12,NA/N,NA/N,NA/N,NA/N
MAPK7,NA/N,NA/N,NA/N,NA/N
MAPK13,NA/N,NA/N,NA/N,NA/N
MYLK3,NA/N,NA/N,NA/N,NA/N
ZFP36L1,NA/N,NA/N,NA/N,NA/N
RHBDF1,NA/N,NA/N,NA/N,NA/N
PRKY,NA/N,NA/N,NA/N,NA/N
MAPK1IP1L,NA/N,NA/N,NA/N,NA/N
FASTKD5,NA/N,NA/N,NA/N,NA/N
ZNF813,NA/N,NA/N,NA/N,NA/N
ZNF28,NA/N,NA/N,NA/N,NA/N
DHX34,NA/N,NA/N,NA/N,NA/N
SLC27A4,NA/N,NA/N,NA/N,NA/N
DUSP8,NA/N,NA/N,NA/N,NA/N
MAPKAP1,NA/N,NA/N,NA/N,NA/N
MAPKAPK3,NA/N,NA/N,NA/N,NA/N
MAPKAPK5,NA/N,NA/N,NA/N,NA/N
KIAA1217,NA/N,NA/N,NA/N,NA/N
SCRN2,NA/N,NA/N,NA/N,NA/N
C11orf58,NA/N,NA/N,NA/N,NA/N
RASGRF1,NA/N,NA/N,NA/N,NA/N
MARVELD2,NA/N,NA/N,NA/N,NA/N
STK38,NA/N,NA/N,NA/N,NA/N
MAS1,NA/N,NA/N,NA/N,NA/N
SLC7A6,NA/N,NA/N,NA/N,NA/N
MBL2,NA/N,NA/N,NA/N,NA/N
MASP2,NA/N,NA/N,NA/N,NA/N
MAST3,NA/N,NA/N,NA/N,NA/N
MAT1A,NA/N,NA/N,NA/N,NA/N
MAT2B,NA/N,NA/N,NA/N,NA/N
MATN2,NA/N,NA/N,NA/N,NA/N
MATN3,NA/N,NA/N,NA/N,NA/N
PBLD,NA/N,NA/N,NA/N,NA/N
NLRP3,NA/N,NA/N,NA/N,NA/N
MBD3L2,NA/N,NA/N,NA/N,NA/N
MBD4,NA/N,NA/N,NA/N,NA/N
OSGEP,NA/N,NA/N,NA/N,NA/N
MBLAC1,NA/N,NA/N,NA/N,NA/N
H1FNT,NA/N,NA/N,NA/N,NA/N
ZDHHC20,NA/N,NA/N,NA/N,NA/N
MBNL2,NA/N,NA/N,NA/N,NA/N
MBTPS2,NA/N,NA/N,NA/N,NA/N
MC1R,NA/N,NA/N,NA/N,NA/N
POMC,NA/N,NA/N,NA/N,NA/N
MC2R,NA/N,NA/N,NA/N,NA/N
MRAP2,NA/N,NA/N,NA/N,NA/N
MC5R,NA/N,NA/N,NA/N,NA/N
MCEMP1,NA/N,NA/N,NA/N,NA/N
MCF2L2,NA/N,NA/N,NA/N,NA/N
MCFD2,NA/N,NA/N,NA/N,NA/N
MCIDAS,NA/N,NA/N,NA/N,NA/N
BOK,NA/N,NA/N,NA/N,NA/N
STARD9,NA/N,NA/N,NA/N,NA/N
HORMAD1,NA/N,NA/N,NA/N,NA/N
MCOLN3,NA/N,NA/N,NA/N,NA/N
MCOLN2,NA/N,NA/N,NA/N,NA/N
DAGLA,NA/N,NA/N,NA/N,NA/N
PGLS,NA/N,NA/N,NA/N,NA/N
NPDC1,NA/N,NA/N,NA/N,NA/N
ZFYVE26,NA/N,NA/N,NA/N,NA/N
SPRY1,NA/N,NA/N,NA/N,NA/N
TAT,NA/N,NA/N,NA/N,NA/N
MDH1,NA/N,NA/N,NA/N,NA/N
CARS2,NA/N,NA/N,NA/N,NA/N
AK3,NA/N,NA/N,NA/N,NA/N
MDK,NA/N,NA/N,NA/N,NA/N
RPP25,NA/N,NA/N,NA/N,NA/N
TPT1,NA/N,NA/N,NA/N,NA/N
RASSF6,NA/N,NA/N,NA/N,NA/N
ASRGL1,NA/N,NA/N,NA/N,NA/N
FAM193A,NA/N,NA/N,NA/N,NA/N
PELI1,NA/N,NA/N,NA/N,NA/N
KAT6B,NA/N,NA/N,NA/N,NA/N
MEAK7,NA/N,NA/N,NA/N,NA/N
PRPF40B,NA/N,NA/N,NA/N,NA/N
NSD1,NA/N,NA/N,NA/N,NA/N
TFB1M,NA/N,NA/N,NA/N,NA/N
HIST2H2BF,NA/N,NA/N,NA/N,NA/N
RBAK,NA/N,NA/N,NA/N,NA/N
MECR,NA/N,NA/N,NA/N,NA/N
MED26,NA/N,NA/N,NA/N,NA/N
MED19,NA/N,NA/N,NA/N,NA/N
MED9,NA/N,NA/N,NA/N,NA/N
POLR2K,NA/N,NA/N,NA/N,NA/N
SYCE2,NA/N,NA/N,NA/N,NA/N
BARHL1,NA/N,NA/N,NA/N,NA/N
MEFV,NA/N,NA/N,NA/N,NA/N
MEGF10,NA/N,NA/N,NA/N,NA/N
MEIOB,NA/N,NA/N,NA/N,NA/N
HOXA13,NA/N,NA/N,NA/N,NA/N
HOXA11,NA/N,NA/N,NA/N,NA/N
PIGL,NA/N,NA/N,NA/N,NA/N
PBX4,NA/N,NA/N,NA/N,NA/N
RPRM,NA/N,NA/N,NA/N,NA/N
MEOX1,NA/N,NA/N,NA/N,NA/N
PAX1,NA/N,NA/N,NA/N,NA/N
MEOX2,NA/N,NA/N,NA/N,NA/N
MEP1B,NA/N,NA/N,NA/N,NA/N
METTL16,NA/N,NA/N,NA/N,NA/N
MEPE,NA/N,NA/N,NA/N,NA/N
MERTK,NA/N,NA/N,NA/N,NA/N
MESP2,NA/N,NA/N,NA/N,NA/N
METTL1,NA/N,NA/N,NA/N,NA/N
METTL14,NA/N,NA/N,NA/N,NA/N
METTL17,NA/N,NA/N,NA/N,NA/N
MRPS6,NA/N,NA/N,NA/N,NA/N
METTL22,NA/N,NA/N,NA/N,NA/N
METTL2A,NA/N,NA/N,NA/N,NA/N
METTL3,NA/N,NA/N,NA/N,NA/N
METTL6,NA/N,NA/N,NA/N,NA/N
DENND4A,NA/N,NA/N,NA/N,NA/N
MFAP5,NA/N,NA/N,NA/N,NA/N
MFGE8,NA/N,NA/N,NA/N,NA/N
MFSD11,NA/N,NA/N,NA/N,NA/N
MFSD4A,NA/N,NA/N,NA/N,NA/N
CYSTM1,NA/N,NA/N,NA/N,NA/N
MGAT4C,NA/N,NA/N,NA/N,NA/N
MEGF8,NA/N,NA/N,NA/N,NA/N
PDCD2,NA/N,NA/N,NA/N,NA/N
MGST2,NA/N,NA/N,NA/N,NA/N
MGST3,NA/N,NA/N,NA/N,NA/N
MIA2,NA/N,NA/N,NA/N,NA/N
SIGLEC12,NA/N,NA/N,NA/N,NA/N
MICOS10,NA/N,NA/N,NA/N,NA/N
MICU3,NA/N,NA/N,NA/N,NA/N
SMAP1,NA/N,NA/N,NA/N,NA/N
SYT17,NA/N,NA/N,NA/N,NA/N
MIGA2,NA/N,NA/N,NA/N,NA/N
MIIP,NA/N,NA/N,NA/N,NA/N
CYP2J2,NA/N,NA/N,NA/N,NA/N
RPUSD3,NA/N,NA/N,NA/N,NA/N
NTHL1,NA/N,NA/N,NA/N,NA/N
MINK1,NA/N,NA/N,NA/N,NA/N
GDAP1,NA/N,NA/N,NA/N,NA/N
MIP,NA/N,NA/N,NA/N,NA/N
CCDC170,NA/N,NA/N,NA/N,NA/N
MKNK2,NA/N,NA/N,NA/N,NA/N
MKRN3,NA/N,NA/N,NA/N,NA/N
MKX,NA/N,NA/N,NA/N,NA/N
MLANA,NA/N,NA/N,NA/N,NA/N
MLEC,NA/N,NA/N,NA/N,NA/N
CRYBG3,NA/N,NA/N,NA/N,NA/N
TMSB4X,NA/N,NA/N,NA/N,NA/N
MLH3,NA/N,NA/N,NA/N,NA/N
MLKL,NA/N,NA/N,NA/N,NA/N
ZC3H10,NA/N,NA/N,NA/N,NA/N
RAB27A,NA/N,NA/N,NA/N,NA/N
RAB27B,NA/N,NA/N,NA/N,NA/N
MLX,NA/N,NA/N,NA/N,NA/N
MLXIPL,NA/N,NA/N,NA/N,NA/N
MLXIP,NA/N,NA/N,NA/N,NA/N
RBM5,NA/N,NA/N,NA/N,NA/N
MMAA,NA/N,NA/N,NA/N,NA/N
GALNT2,NA/N,NA/N,NA/N,NA/N
MMP10,NA/N,NA/N,NA/N,NA/N
MMP14,NA/N,NA/N,NA/N,NA/N
TIMP2,NA/N,NA/N,NA/N,NA/N
COL12A1,NA/N,NA/N,NA/N,NA/N
MMP26,NA/N,NA/N,NA/N,NA/N
MMP28,NA/N,NA/N,NA/N,NA/N
MMP3,NA/N,NA/N,NA/N,NA/N
MMP7,NA/N,NA/N,NA/N,NA/N
CXCL5,NA/N,NA/N,NA/N,NA/N
MMRN1,NA/N,NA/N,NA/N,NA/N
POU2F2,NA/N,NA/N,NA/N,NA/N
PSMC3IP,NA/N,NA/N,NA/N,NA/N
MNT,NA/N,NA/N,NA/N,NA/N
MOAP1,NA/N,NA/N,NA/N,NA/N
PNMA8A,NA/N,NA/N,NA/N,NA/N
PNMA1,NA/N,NA/N,NA/N,NA/N
MOB2,NA/N,NA/N,NA/N,NA/N
MOGAT2,NA/N,NA/N,NA/N,NA/N
MORC1,NA/N,NA/N,NA/N,NA/N
EP400P1,NA/N,NA/N,NA/N,NA/N
MORN3,NA/N,NA/N,NA/N,NA/N
MORN5,NA/N,NA/N,NA/N,NA/N
STARD3NL,NA/N,NA/N,NA/N,NA/N
MPC1,NA/N,NA/N,NA/N,NA/N
MPDU1,NA/N,NA/N,NA/N,NA/N
SSTR3,NA/N,NA/N,NA/N,NA/N
THOP1,NA/N,NA/N,NA/N,NA/N
MPHOSPH8,NA/N,NA/N,NA/N,NA/N
MPI,NA/N,NA/N,NA/N,NA/N
MPIG6B,NA/N,NA/N,NA/N,NA/N
MPP4,NA/N,NA/N,NA/N,NA/N
FAM124A,NA/N,NA/N,NA/N,NA/N
MPPE1,NA/N,NA/N,NA/N,NA/N
ICAM4,NA/N,NA/N,NA/N,NA/N
MPPED1,NA/N,NA/N,NA/N,NA/N
UPRT,NA/N,NA/N,NA/N,NA/N
ZNF232,NA/N,NA/N,NA/N,NA/N
MPPED2,NA/N,NA/N,NA/N,NA/N
MPV17,NA/N,NA/N,NA/N,NA/N
MPZL2,NA/N,NA/N,NA/N,NA/N
MRAP,NA/N,NA/N,NA/N,NA/N
TEX2,NA/N,NA/N,NA/N,NA/N
UST,NA/N,NA/N,NA/N,NA/N
MRAS,NA/N,NA/N,NA/N,NA/N
RALGDS,NA/N,NA/N,NA/N,NA/N
MREG,NA/N,NA/N,NA/N,NA/N
PLSCR4,NA/N,NA/N,NA/N,NA/N
MRI1,NA/N,NA/N,NA/N,NA/N
MRM1,NA/N,NA/N,NA/N,NA/N
VPS26B,NA/N,NA/N,NA/N,NA/N
CGGBP1,NA/N,NA/N,NA/N,NA/N
MRPL50,NA/N,NA/N,NA/N,NA/N
MRPL18,NA/N,NA/N,NA/N,NA/N
MRPL41,NA/N,NA/N,NA/N,NA/N
MRPL23,NA/N,NA/N,NA/N,NA/N
MRPL15,NA/N,NA/N,NA/N,NA/N
MRPL17,NA/N,NA/N,NA/N,NA/N
MRPL51,NA/N,NA/N,NA/N,NA/N
MRPL55,NA/N,NA/N,NA/N,NA/N
MRPL39,NA/N,NA/N,NA/N,NA/N
NDUFAB1,NA/N,NA/N,NA/N,NA/N
C1orf122,NA/N,NA/N,NA/N,NA/N
PUS1,NA/N,NA/N,NA/N,NA/N
MTERF2,NA/N,NA/N,NA/N,NA/N
MRPL34,NA/N,NA/N,NA/N,NA/N
C8orf59,NA/N,NA/N,NA/N,NA/N
MSI2,NA/N,NA/N,NA/N,NA/N
MRPL54,NA/N,NA/N,NA/N,NA/N
MRPL58,NA/N,NA/N,NA/N,NA/N
MRPS12,NA/N,NA/N,NA/N,NA/N
MYOCD,NA/N,NA/N,NA/N,NA/N
MRVI1,NA/N,NA/N,NA/N,NA/N
MS4A7,NA/N,NA/N,NA/N,NA/N
MSC,NA/N,NA/N,NA/N,NA/N
MSH5,NA/N,NA/N,NA/N,NA/N
VCAM1,NA/N,NA/N,NA/N,NA/N
MSR1,NA/N,NA/N,NA/N,NA/N
MSRB1,NA/N,NA/N,NA/N,NA/N
MST1,NA/N,NA/N,NA/N,NA/N
MT2A,NA/N,NA/N,NA/N,NA/N
MTERF1,NA/N,NA/N,NA/N,NA/N
MTHFS,NA/N,NA/N,NA/N,NA/N
MTMR12,NA/N,NA/N,NA/N,NA/N
MTMR11,NA/N,NA/N,NA/N,NA/N
MTMR2,NA/N,NA/N,NA/N,NA/N
SBF2,NA/N,NA/N,NA/N,NA/N
MTMR10,NA/N,NA/N,NA/N,NA/N
MTMR7,NA/N,NA/N,NA/N,NA/N
MTNR1A,NA/N,NA/N,NA/N,NA/N
MTNR1B,NA/N,NA/N,NA/N,NA/N
MTRF1,NA/N,NA/N,NA/N,NA/N
MTRF1L,NA/N,NA/N,NA/N,NA/N
HEMK1,NA/N,NA/N,NA/N,NA/N
MTRR,NA/N,NA/N,NA/N,NA/N
MTSS1,NA/N,NA/N,NA/N,NA/N
MTTP,NA/N,NA/N,NA/N,NA/N
MUC15,NA/N,NA/N,NA/N,NA/N
MUC20,NA/N,NA/N,NA/N,NA/N
RBM15,NA/N,NA/N,NA/N,NA/N
MUC4,NA/N,NA/N,NA/N,NA/N
MUSK,NA/N,NA/N,NA/N,NA/N
MUTYH,NA/N,NA/N,NA/N,NA/N
MX1,NA/N,NA/N,NA/N,NA/N
TRPC6,NA/N,NA/N,NA/N,NA/N
MX2,NA/N,NA/N,NA/N,NA/N
MXD3,NA/N,NA/N,NA/N,NA/N
NUP62CL,NA/N,NA/N,NA/N,NA/N
MXD4,NA/N,NA/N,NA/N,NA/N
MYBPC3,NA/N,NA/N,NA/N,NA/N
MYBPHL,NA/N,NA/N,NA/N,NA/N
PARP10,NA/N,NA/N,NA/N,NA/N
ATP5MF,NA/N,NA/N,NA/N,NA/N
PSMA5,NA/N,NA/N,NA/N,NA/N
SMTN,NA/N,NA/N,NA/N,NA/N
RRM1,NA/N,NA/N,NA/N,NA/N
CDCA7L,NA/N,NA/N,NA/N,NA/N
FBXO8,NA/N,NA/N,NA/N,NA/N
NOMO2,NA/N,NA/N,NA/N,NA/N
NMNAT2,NA/N,NA/N,NA/N,NA/N
MYCL,NA/N,NA/N,NA/N,NA/N
TLR2,NA/N,NA/N,NA/N,NA/N
TLR5,NA/N,NA/N,NA/N,NA/N
TLR9,NA/N,NA/N,NA/N,NA/N
TNFRSF13B,NA/N,NA/N,NA/N,NA/N
MYEOV,NA/N,NA/N,NA/N,NA/N
MYL10,NA/N,NA/N,NA/N,NA/N
MYL2,NA/N,NA/N,NA/N,NA/N
MYL5,NA/N,NA/N,NA/N,NA/N
MYL3,NA/N,NA/N,NA/N,NA/N
MYLIP,NA/N,NA/N,NA/N,NA/N
MTAP,NA/N,NA/N,NA/N,NA/N
MYLK,NA/N,NA/N,NA/N,NA/N
MYO1F,NA/N,NA/N,NA/N,NA/N
TOM1L2,NA/N,NA/N,NA/N,NA/N
MYOC,NA/N,NA/N,NA/N,NA/N
MYOM1,NA/N,NA/N,NA/N,NA/N
MYOM2,NA/N,NA/N,NA/N,NA/N
MYOT,NA/N,NA/N,NA/N,NA/N
MYOZ1,NA/N,NA/N,NA/N,NA/N
MYOZ2,NA/N,NA/N,NA/N,NA/N
MYOZ3,NA/N,NA/N,NA/N,NA/N
NEB,NA/N,NA/N,NA/N,NA/N
MYRIP,NA/N,NA/N,NA/N,NA/N
MYT1,NA/N,NA/N,NA/N,NA/N
MYT1L,NA/N,NA/N,NA/N,NA/N
MZF1,NA/N,NA/N,NA/N,NA/N
MZT1,NA/N,NA/N,NA/N,NA/N
N4BP3,NA/N,NA/N,NA/N,NA/N
NAA11,NA/N,NA/N,NA/N,NA/N
NAA20,NA/N,NA/N,NA/N,NA/N
NAA25,NA/N,NA/N,NA/N,NA/N
NAA38,NA/N,NA/N,NA/N,NA/N
NAA40,NA/N,NA/N,NA/N,NA/N
NAAA,NA/N,NA/N,NA/N,NA/N
NAALADL2,NA/N,NA/N,NA/N,NA/N
NAB2,NA/N,NA/N,NA/N,NA/N
NAE1,NA/N,NA/N,NA/N,NA/N
RAI1,NA/N,NA/N,NA/N,NA/N
SETD5,NA/N,NA/N,NA/N,NA/N
NAIP,NA/N,NA/N,NA/N,NA/N
NANOG,NA/N,NA/N,NA/N,NA/N
NANOS1,NA/N,NA/N,NA/N,NA/N
NANOS2,NA/N,NA/N,NA/N,NA/N
TOB2,NA/N,NA/N,NA/N,NA/N
STX16,NA/N,NA/N,NA/N,NA/N
SCFD2,NA/N,NA/N,NA/N,NA/N
NBAS,NA/N,NA/N,NA/N,NA/N
NAPEPLD,NA/N,NA/N,NA/N,NA/N
NAPSA,NA/N,NA/N,NA/N,NA/N
NAT1,NA/N,NA/N,NA/N,NA/N
NAT8L,NA/N,NA/N,NA/N,NA/N
NAT9,NA/N,NA/N,NA/N,NA/N
NAV2,NA/N,NA/N,NA/N,NA/N
NBEAL2,NA/N,NA/N,NA/N,NA/N
NBPF3,NA/N,NA/N,NA/N,NA/N
NBPF1,NA/N,NA/N,NA/N,NA/N
NCAM2,NA/N,NA/N,NA/N,NA/N
NCAN,NA/N,NA/N,NA/N,NA/N
SNAPC4,NA/N,NA/N,NA/N,NA/N
C19orf47,NA/N,NA/N,NA/N,NA/N
ST3GAL6,NA/N,NA/N,NA/N,NA/N
MTFP1,NA/N,NA/N,NA/N,NA/N
NCF4,NA/N,NA/N,NA/N,NA/N
WIPF2,NA/N,NA/N,NA/N,NA/N
RHOV,NA/N,NA/N,NA/N,NA/N
NCKAP5,NA/N,NA/N,NA/N,NA/N
RBM15B,NA/N,NA/N,NA/N,NA/N
NPM3,NA/N,NA/N,NA/N,NA/N
RPS23,NA/N,NA/N,NA/N,NA/N
TEAD2,NA/N,NA/N,NA/N,NA/N
THRB,NA/N,NA/N,NA/N,NA/N
RARG,NA/N,NA/N,NA/N,NA/N
NR5A2,NA/N,NA/N,NA/N,NA/N
ASCL2,NA/N,NA/N,NA/N,NA/N
UTY,NA/N,NA/N,NA/N,NA/N
NR1D1,NA/N,NA/N,NA/N,NA/N
RARB,NA/N,NA/N,NA/N,NA/N
NCR1,NA/N,NA/N,NA/N,NA/N
NCR2,NA/N,NA/N,NA/N,NA/N
NCR3LG1,NA/N,NA/N,NA/N,NA/N
IL1RAPL1,NA/N,NA/N,NA/N,NA/N
VASN,NA/N,NA/N,NA/N,NA/N
ND2,NA/N,NA/N,NA/N,NA/N
RUFY4,NA/N,NA/N,NA/N,NA/N
TRIM7,NA/N,NA/N,NA/N,NA/N
NDP,NA/N,NA/N,NA/N,NA/N
FZD4,NA/N,NA/N,NA/N,NA/N
CMTM5,NA/N,NA/N,NA/N,NA/N
NDUFA11,NA/N,NA/N,NA/N,NA/N
NDUFA4,NA/N,NA/N,NA/N,NA/N
NDUFB7,NA/N,NA/N,NA/N,NA/N
TIMMDC1,NA/N,NA/N,NA/N,NA/N
RAB5IF,NA/N,NA/N,NA/N,NA/N
NDUFA4L2,NA/N,NA/N,NA/N,NA/N
NDUFA1,NA/N,NA/N,NA/N,NA/N
NDUFB4,NA/N,NA/N,NA/N,NA/N
PPM1E,NA/N,NA/N,NA/N,NA/N
NDUFAF8,NA/N,NA/N,NA/N,NA/N
ND6,NA/N,NA/N,NA/N,NA/N
SCO1,NA/N,NA/N,NA/N,NA/N
PCK2,NA/N,NA/N,NA/N,NA/N
PDP2,NA/N,NA/N,NA/N,NA/N
ALKBH7,NA/N,NA/N,NA/N,NA/N
PCCB,NA/N,NA/N,NA/N,NA/N
XIRP2,NA/N,NA/N,NA/N,NA/N
TIGIT,NA/N,NA/N,NA/N,NA/N
NECTIN3,NA/N,NA/N,NA/N,NA/N
NECTIN4,NA/N,NA/N,NA/N,NA/N
C6orf62,NA/N,NA/N,NA/N,NA/N
SCNN1A,NA/N,NA/N,NA/N,NA/N
SCNN1G,NA/N,NA/N,NA/N,NA/N
PRRG1,NA/N,NA/N,NA/N,NA/N
TST,NA/N,NA/N,NA/N,NA/N
NEDD9,NA/N,NA/N,NA/N,NA/N
RMC1,NA/N,NA/N,NA/N,NA/N
NEIL1,NA/N,NA/N,NA/N,NA/N
DTD1,NA/N,NA/N,NA/N,NA/N
TUBA3D,NA/N,NA/N,NA/N,NA/N
EML2,NA/N,NA/N,NA/N,NA/N
NELL1,NA/N,NA/N,NA/N,NA/N
ATRAID,NA/N,NA/N,NA/N,NA/N
C4orf48,NA/N,NA/N,NA/N,NA/N
ZNF260,NA/N,NA/N,NA/N,NA/N
PAX3,NA/N,NA/N,NA/N,NA/N
NENF,NA/N,NA/N,NA/N,NA/N
SELENOM,NA/N,NA/N,NA/N,NA/N
NEO1,NA/N,NA/N,NA/N,NA/N
NTN1,NA/N,NA/N,NA/N,NA/N
NEU1,NA/N,NA/N,NA/N,NA/N
NOSIP,NA/N,NA/N,NA/N,NA/N
NEU4,NA/N,NA/N,NA/N,NA/N
NEUROD2,NA/N,NA/N,NA/N,NA/N
